Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
BFO,842707,30,BANKEX,BANKEX25MAR56500CE,OPTIDX,25-MAR-2025,56500,CE
BFO,842477,30,BANKEX,BANKEX25MAR56400CE,OPTIDX,25-MAR-2025,56400,CE
BFO,842649,30,BANKEX,BANKEX25MAR56300CE,OPTIDX,25-MAR-2025,56300,CE
BFO,842439,30,BANKEX,BANKEX25MAR56200CE,OPTIDX,25-MAR-2025,56200,CE
BFO,842604,30,BANKEX,BANKEX25MAR56100CE,OPTIDX,25-MAR-2025,56100,CE
BFO,842657,30,BANKEX,BANKEX25MAR54900CE,OPTIDX,25-MAR-2025,54900,CE
BFO,842443,30,BANKEX,BANKEX25MAR54800CE,OPTIDX,25-MAR-2025,54800,CE
BFO,845680,30,BANKEX,BANKEX25MAR53600CE,OPTIDX,25-MAR-2025,53600,CE
BFO,845507,30,BANKEX,BANKEX25MAR53500CE,OPTIDX,25-MAR-2025,53500,CE
BFO,845654,30,BANKEX,BANKEX25MAR53400CE,OPTIDX,25-MAR-2025,53400,CE
BFO,845472,30,BANKEX,BANKEX25MAR53300CE,OPTIDX,25-MAR-2025,53300,CE
BFO,845618,30,BANKEX,BANKEX25MAR53200CE,OPTIDX,25-MAR-2025,53200,CE
BFO,845760,30,BANKEX,BANKEX25MAR53100CE,OPTIDX,25-MAR-2025,53100,CE
BFO,845571,30,BANKEX,BANKEX25MAR53000CE,OPTIDX,25-MAR-2025,53000,CE
BFO,845819,30,BANKEX,BANKEX25MAR52900CE,OPTIDX,25-MAR-2025,52900,CE
BFO,845382,30,BANKEX,BANKEX25MAR52800CE,OPTIDX,25-MAR-2025,52800,CE
BFO,842229,30,BANKEX,BANKEX25MAR53700CE,OPTIDX,25-MAR-2025,53700,CE
BFO,842743,30,BANKEX,BANKEX25MAR53800CE,OPTIDX,25-MAR-2025,53800,CE
BFO,842607,30,BANKEX,BANKEX25MAR54700CE,OPTIDX,25-MAR-2025,54700,CE
BFO,842395,30,BANKEX,BANKEX25MAR54600CE,OPTIDX,25-MAR-2025,54600,CE
BFO,842571,30,BANKEX,BANKEX25MAR54500CE,OPTIDX,25-MAR-2025,54500,CE
BFO,842753,30,BANKEX,BANKEX25MAR54400CE,OPTIDX,25-MAR-2025,54400,CE
BFO,842515,30,BANKEX,BANKEX25MAR54300CE,OPTIDX,25-MAR-2025,54300,CE
BFO,842706,30,BANKEX,BANKEX25MAR54200CE,OPTIDX,25-MAR-2025,54200,CE
BFO,842476,30,BANKEX,BANKEX25MAR54100CE,OPTIDX,25-MAR-2025,54100,CE
BFO,842648,30,BANKEX,BANKEX25MAR54000CE,OPTIDX,25-MAR-2025,54000,CE
BFO,842270,30,BANKEX,BANKEX25MAR53900CE,OPTIDX,25-MAR-2025,53900,CE
BFO,845794,30,BANKEX,BANKEX25MAR52700CE,OPTIDX,25-MAR-2025,52700,CE
BFO,823165,30,BANKEX,BANKEX25FEB58300PE,OPTIDX,25-FEB-2025,58300,PE
BFO,823218,30,BANKEX,BANKEX25FEB57100PE,OPTIDX,25-FEB-2025,57100,PE
BFO,823301,30,BANKEX,BANKEX25FEB57000PE,OPTIDX,25-FEB-2025,57000,PE
BFO,823212,30,BANKEX,BANKEX25FEB56900PE,OPTIDX,25-FEB-2025,56900,PE
BFO,822975,30,BANKEX,BANKEX25FEB56800PE,OPTIDX,25-FEB-2025,56800,PE
BFO,823073,30,BANKEX,BANKEX25FEB56700PE,OPTIDX,25-FEB-2025,56700,PE
BFO,822829,30,BANKEX,BANKEX25FEB56600PE,OPTIDX,25-FEB-2025,56600,PE
BFO,822910,30,BANKEX,BANKEX25FEB56500PE,OPTIDX,25-FEB-2025,56500,PE
BFO,822679,30,BANKEX,BANKEX25FEB56400PE,OPTIDX,25-FEB-2025,56400,PE
BFO,823174,30,BANKEX,BANKEX25FEB56300PE,OPTIDX,25-FEB-2025,56300,PE
BFO,822717,30,BANKEX,BANKEX25FEB57200PE,OPTIDX,25-FEB-2025,57200,PE
BFO,822964,30,BANKEX,BANKEX25FEB57300PE,OPTIDX,25-FEB-2025,57300,PE
BFO,822915,30,BANKEX,BANKEX25FEB58200PE,OPTIDX,25-FEB-2025,58200,PE
BFO,823007,30,BANKEX,BANKEX25FEB58100PE,OPTIDX,25-FEB-2025,58100,PE
BFO,822775,30,BANKEX,BANKEX25FEB58000PE,OPTIDX,25-FEB-2025,58000,PE
BFO,822678,30,BANKEX,BANKEX25FEB57900PE,OPTIDX,25-FEB-2025,57900,PE
BFO,822767,30,BANKEX,BANKEX25FEB57800PE,OPTIDX,25-FEB-2025,57800,PE
BFO,823255,30,BANKEX,BANKEX25FEB57700PE,OPTIDX,25-FEB-2025,57700,PE
BFO,823022,30,BANKEX,BANKEX25FEB57600PE,OPTIDX,25-FEB-2025,57600,PE
BFO,823117,30,BANKEX,BANKEX25FEB57500PE,OPTIDX,25-FEB-2025,57500,PE
BFO,822870,30,BANKEX,BANKEX25FEB57400PE,OPTIDX,25-FEB-2025,57400,PE
BFO,823256,30,BANKEX,BANKEX25FEB56200PE,OPTIDX,25-FEB-2025,56200,PE
BFO,823023,30,BANKEX,BANKEX25FEB56100PE,OPTIDX,25-FEB-2025,56100,PE
BFO,838281,30,BANKEX,BANKEX25FEB54900PE,OPTIDX,25-FEB-2025,54900,PE
BFO,838598,30,BANKEX,BANKEX25FEB54800PE,OPTIDX,25-FEB-2025,54800,PE
BFO,838449,30,BANKEX,BANKEX25FEB54700PE,OPTIDX,25-FEB-2025,54700,PE
BFO,839656,30,BANKEX,BANKEX25FEB54600PE,OPTIDX,25-FEB-2025,54600,PE
BFO,839217,30,BANKEX,BANKEX25FEB54500PE,OPTIDX,25-FEB-2025,54500,PE
BFO,839379,30,BANKEX,BANKEX25FEB54400PE,OPTIDX,25-FEB-2025,54400,PE
BFO,838942,30,BANKEX,BANKEX25FEB54300PE,OPTIDX,25-FEB-2025,54300,PE
BFO,839847,30,BANKEX,BANKEX25FEB54200PE,OPTIDX,25-FEB-2025,54200,PE
BFO,838663,30,BANKEX,BANKEX25FEB54100PE,OPTIDX,25-FEB-2025,54100,PE
BFO,838606,30,BANKEX,BANKEX25FEB55000PE,OPTIDX,25-FEB-2025,55000,PE
BFO,823798,30,BANKEX,BANKEX25FEB55100PE,OPTIDX,25-FEB-2025,55100,PE
BFO,823118,30,BANKEX,BANKEX25FEB56000PE,OPTIDX,25-FEB-2025,56000,PE
BFO,823016,30,BANKEX,BANKEX25FEB55900PE,OPTIDX,25-FEB-2025,55900,PE
BFO,822786,30,BANKEX,BANKEX25FEB55800PE,OPTIDX,25-FEB-2025,55800,PE
BFO,822865,30,BANKEX,BANKEX25FEB55700PE,OPTIDX,25-FEB-2025,55700,PE
BFO,822631,30,BANKEX,BANKEX25FEB55600PE,OPTIDX,25-FEB-2025,55600,PE
BFO,823131,30,BANKEX,BANKEX25FEB55500PE,OPTIDX,25-FEB-2025,55500,PE
BFO,823534,30,BANKEX,BANKEX25FEB55400PE,OPTIDX,25-FEB-2025,55400,PE
BFO,823841,30,BANKEX,BANKEX25FEB55300PE,OPTIDX,25-FEB-2025,55300,PE
