Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
BFO,1112141,15,BANKEX,BANKEX24JUL55500CE,OPTIDX,29-JUL-2024,55500,CE
BFO,1111839,15,BANKEX,BANKEX24JUL54500CE,OPTIDX,29-JUL-2024,54500,CE
BFO,1111576,15,BANKEX,BANKEX24JUL54600CE,OPTIDX,29-JUL-2024,54600,CE
BFO,1112097,15,BANKEX,BANKEX24JUL54700CE,OPTIDX,29-JUL-2024,54700,CE
BFO,1112427,15,BANKEX,BANKEX24JUL54800CE,OPTIDX,29-JUL-2024,54800,CE
BFO,1112300,15,BANKEX,BANKEX24JUL54900CE,OPTIDX,29-JUL-2024,54900,CE
BFO,1112435,15,BANKEX,BANKEX24JUL55000CE,OPTIDX,29-JUL-2024,55000,CE
BFO,1111546,15,BANKEX,BANKEX24JUL55100CE,OPTIDX,29-JUL-2024,55100,CE
BFO,1111254,15,BANKEX,BANKEX24JUL55200CE,OPTIDX,29-JUL-2024,55200,CE
BFO,1111931,15,BANKEX,BANKEX24JUL55300CE,OPTIDX,29-JUL-2024,55300,CE
BFO,1111693,15,BANKEX,BANKEX24JUL55400CE,OPTIDX,29-JUL-2024,55400,CE
BFO,1111253,15,BANKEX,BANKEX24JUL56700CE,OPTIDX,29-JUL-2024,56700,CE
BFO,1111929,15,BANKEX,BANKEX24JUL56800CE,OPTIDX,29-JUL-2024,56800,CE
BFO,1111063,15,BANKEX,BANKEX24JUL58100CE,OPTIDX,29-JUL-2024,58100,CE
BFO,1111813,15,BANKEX,BANKEX24JUL58200CE,OPTIDX,29-JUL-2024,58200,CE
BFO,1111548,15,BANKEX,BANKEX24JUL58300CE,OPTIDX,29-JUL-2024,58300,CE
BFO,1112075,15,BANKEX,BANKEX24JUL58400CE,OPTIDX,29-JUL-2024,58400,CE
BFO,1112415,15,BANKEX,BANKEX24JUL58500CE,OPTIDX,29-JUL-2024,58500,CE
BFO,1112288,15,BANKEX,BANKEX24JUL58600CE,OPTIDX,29-JUL-2024,58600,CE
BFO,1111216,15,BANKEX,BANKEX24JUL58700CE,OPTIDX,29-JUL-2024,58700,CE
BFO,1110962,15,BANKEX,BANKEX24JUL58800CE,OPTIDX,29-JUL-2024,58800,CE
BFO,1111655,15,BANKEX,BANKEX24JUL58900CE,OPTIDX,29-JUL-2024,58900,CE
BFO,1111909,15,BANKEX,BANKEX24JUL59000CE,OPTIDX,29-JUL-2024,59000,CE
BFO,1111346,15,BANKEX,BANKEX24JUL58000CE,OPTIDX,29-JUL-2024,58000,CE
BFO,1111048,15,BANKEX,BANKEX24JUL57900CE,OPTIDX,29-JUL-2024,57900,CE
BFO,1112281,15,BANKEX,BANKEX24JUL56900CE,OPTIDX,29-JUL-2024,56900,CE
BFO,1111940,15,BANKEX,BANKEX24JUL57000CE,OPTIDX,29-JUL-2024,57000,CE
BFO,1112290,15,BANKEX,BANKEX24JUL57100CE,OPTIDX,29-JUL-2024,57100,CE
BFO,1111219,15,BANKEX,BANKEX24JUL57200CE,OPTIDX,29-JUL-2024,57200,CE
BFO,1110969,15,BANKEX,BANKEX24JUL57300CE,OPTIDX,29-JUL-2024,57300,CE
BFO,1111657,15,BANKEX,BANKEX24JUL57400CE,OPTIDX,29-JUL-2024,57400,CE
BFO,1111407,15,BANKEX,BANKEX24JUL57500CE,OPTIDX,29-JUL-2024,57500,CE
BFO,1111989,15,BANKEX,BANKEX24JUL57600CE,OPTIDX,29-JUL-2024,57600,CE
BFO,1112347,15,BANKEX,BANKEX24JUL57700CE,OPTIDX,29-JUL-2024,57700,CE
BFO,1112233,15,BANKEX,BANKEX24JUL57800CE,OPTIDX,29-JUL-2024,57800,CE
BFO,1111680,15,BANKEX,BANKEX24JUL59100CE,OPTIDX,29-JUL-2024,59100,CE
BFO,1112342,15,BANKEX,BANKEX24JUL53700PE,OPTIDX,29-JUL-2024,53700,PE
BFO,1111630,15,BANKEX,BANKEX24JUL58600PE,OPTIDX,29-JUL-2024,58600,PE
BFO,1124846,15,BANKEX,BANKEX24JUL59900PE,OPTIDX,29-JUL-2024,59900,PE
BFO,1126806,15,BANKEX,BANKEX24JUL60000PE,OPTIDX,29-JUL-2024,60000,PE
BFO,1126433,15,BANKEX,BANKEX24JUL60100PE,OPTIDX,29-JUL-2024,60100,PE
BFO,1126880,15,BANKEX,BANKEX24JUL60200PE,OPTIDX,29-JUL-2024,60200,PE
BFO,1126518,15,BANKEX,BANKEX24JUL60300PE,OPTIDX,29-JUL-2024,60300,PE
BFO,843039,15,BANKEX,BANKEX24JUL60400PE,OPTIDX,29-JUL-2024,60400,PE
BFO,843180,15,BANKEX,BANKEX24JUL60500PE,OPTIDX,29-JUL-2024,60500,PE
BFO,843065,15,BANKEX,BANKEX24JUL60600PE,OPTIDX,29-JUL-2024,60600,PE
BFO,843209,15,BANKEX,BANKEX24JUL60700PE,OPTIDX,29-JUL-2024,60700,PE
BFO,843094,15,BANKEX,BANKEX24JUL60800PE,OPTIDX,29-JUL-2024,60800,PE
BFO,1125285,15,BANKEX,BANKEX24JUL59800PE,OPTIDX,29-JUL-2024,59800,PE
BFO,1123095,15,BANKEX,BANKEX24JUL59700PE,OPTIDX,29-JUL-2024,59700,PE
BFO,1112117,15,BANKEX,BANKEX24JUL58700PE,OPTIDX,29-JUL-2024,58700,PE
BFO,1112450,15,BANKEX,BANKEX24JUL58800PE,OPTIDX,29-JUL-2024,58800,PE
BFO,1112324,15,BANKEX,BANKEX24JUL58900PE,OPTIDX,29-JUL-2024,58900,PE
BFO,1112471,15,BANKEX,BANKEX24JUL59000PE,OPTIDX,29-JUL-2024,59000,PE
BFO,1111591,15,BANKEX,BANKEX24JUL59100PE,OPTIDX,29-JUL-2024,59100,PE
BFO,1123296,15,BANKEX,BANKEX24JUL59200PE,OPTIDX,29-JUL-2024,59200,PE
BFO,1124606,15,BANKEX,BANKEX24JUL59300PE,OPTIDX,29-JUL-2024,59300,PE
BFO,1123410,15,BANKEX,BANKEX24JUL59400PE,OPTIDX,29-JUL-2024,59400,PE
BFO,1124724,15,BANKEX,BANKEX24JUL59500PE,OPTIDX,29-JUL-2024,59500,PE
BFO,1124276,15,BANKEX,BANKEX24JUL59600PE,OPTIDX,29-JUL-2024,59600,PE
BFO,844279,15,BANKEX,BANKEX24JUL60900PE,OPTIDX,29-JUL-2024,60900,PE
BFO,870976,15,BANKEX,BANKEX24JUN49800CE,OPTIDX,24-JUN-2024,49800,CE
BFO,870475,15,BANKEX,BANKEX24JUN51100CE,OPTIDX,24-JUN-2024,51100,CE
BFO,870795,15,BANKEX,BANKEX24JUN51200CE,OPTIDX,24-JUN-2024,51200,CE
BFO,870501,15,BANKEX,BANKEX24JUN51300CE,OPTIDX,24-JUN-2024,51300,CE
BFO,870823,15,BANKEX,BANKEX24JUN51400CE,OPTIDX,24-JUN-2024,51400,CE
BFO,870527,15,BANKEX,BANKEX24JUN51500CE,OPTIDX,24-JUN-2024,51500,CE
BFO,870848,15,BANKEX,BANKEX24JUN51600CE,OPTIDX,24-JUN-2024,51600,CE
BFO,870746,15,BANKEX,BANKEX24JUN51700CE,OPTIDX,24-JUN-2024,51700,CE
BFO,870452,15,BANKEX,BANKEX24JUN51800CE,OPTIDX,24-JUN-2024,51800,CE
BFO,870775,15,BANKEX,BANKEX24JUN51900CE,OPTIDX,24-JUN-2024,51900,CE
BFO,870599,15,BANKEX,BANKEX24JUN52000CE,OPTIDX,24-JUN-2024,52000,CE
BFO,870583,15,BANKEX,BANKEX24JUN51000CE,OPTIDX,24-JUN-2024,51000,CE
BFO,870522,15,BANKEX,BANKEX24JUN50900CE,OPTIDX,24-JUN-2024,50900,CE
BFO,871013,15,BANKEX,BANKEX24JUN49900CE,OPTIDX,24-JUN-2024,49900,CE
BFO,870990,15,BANKEX,BANKEX24JUN50000CE,OPTIDX,24-JUN-2024,50000,CE
BFO,870649,15,BANKEX,BANKEX24JUN50100CE,OPTIDX,24-JUN-2024,50100,CE
BFO,870781,15,BANKEX,BANKEX24JUN50200CE,OPTIDX,24-JUN-2024,50200,CE
BFO,870672,15,BANKEX,BANKEX24JUN50300CE,OPTIDX,24-JUN-2024,50300,CE
BFO,870576,15,BANKEX,BANKEX24JUN50400CE,OPTIDX,24-JUN-2024,50400,CE
BFO,870698,15,BANKEX,BANKEX24JUN50500CE,OPTIDX,24-JUN-2024,50500,CE
BFO,870604,15,BANKEX,BANKEX24JUN50600CE,OPTIDX,24-JUN-2024,50600,CE
BFO,870726,15,BANKEX,BANKEX24JUN50700CE,OPTIDX,24-JUN-2024,50700,CE
BFO,870627,15,BANKEX,BANKEX24JUN50800CE,OPTIDX,24-JUN-2024,50800,CE
BFO,870723,15,BANKEX,BANKEX24JUN52100CE,OPTIDX,24-JUN-2024,52100,CE
BFO,1111299,15,BANKEX,BANKEX24JUL53800PE,OPTIDX,29-JUL-2024,53800,PE
BFO,1112267,15,BANKEX,BANKEX24JUL55100PE,OPTIDX,29-JUL-2024,55100,PE
BFO,1112133,15,BANKEX,BANKEX24JUL55200PE,OPTIDX,29-JUL-2024,55200,PE
BFO,1112484,15,BANKEX,BANKEX24JUL55300PE,OPTIDX,29-JUL-2024,55300,PE
BFO,1111619,15,BANKEX,BANKEX24JUL55400PE,OPTIDX,29-JUL-2024,55400,PE
BFO,1111311,15,BANKEX,BANKEX24JUL55500PE,OPTIDX,29-JUL-2024,55500,PE
BFO,1111967,15,BANKEX,BANKEX24JUL55600PE,OPTIDX,29-JUL-2024,55600,PE
BFO,1111799,15,BANKEX,BANKEX24JUL55700PE,OPTIDX,29-JUL-2024,55700,PE
BFO,1112200,15,BANKEX,BANKEX24JUL55800PE,OPTIDX,29-JUL-2024,55800,PE
BFO,1111017,15,BANKEX,BANKEX24JUL55900PE,OPTIDX,29-JUL-2024,55900,PE
BFO,1112212,15,BANKEX,BANKEX24JUL56000PE,OPTIDX,29-JUL-2024,56000,PE
BFO,1111883,15,BANKEX,BANKEX24JUL55000PE,OPTIDX,29-JUL-2024,55000,PE
BFO,1111653,15,BANKEX,BANKEX24JUL54900PE,OPTIDX,29-JUL-2024,54900,PE
BFO,1111043,15,BANKEX,BANKEX24JUL53900PE,OPTIDX,29-JUL-2024,53900,PE
BFO,1111327,15,BANKEX,BANKEX24JUL54000PE,OPTIDX,29-JUL-2024,54000,PE
BFO,1111973,15,BANKEX,BANKEX24JUL54100PE,OPTIDX,29-JUL-2024,54100,PE
BFO,1111801,15,BANKEX,BANKEX24JUL54200PE,OPTIDX,29-JUL-2024,54200,PE
BFO,1112202,15,BANKEX,BANKEX24JUL54300PE,OPTIDX,29-JUL-2024,54300,PE
BFO,1112069,15,BANKEX,BANKEX24JUL54400PE,OPTIDX,29-JUL-2024,54400,PE
BFO,1112407,15,BANKEX,BANKEX24JUL54500PE,OPTIDX,29-JUL-2024,54500,PE
BFO,1111442,15,BANKEX,BANKEX24JUL54600PE,OPTIDX,29-JUL-2024,54600,PE
BFO,1111209,15,BANKEX,BANKEX24JUL54700PE,OPTIDX,29-JUL-2024,54700,PE
BFO,1111873,15,BANKEX,BANKEX24JUL54800PE,OPTIDX,29-JUL-2024,54800,PE
BFO,1111031,15,BANKEX,BANKEX24JUL56100PE,OPTIDX,29-JUL-2024,56100,PE
BFO,1111762,15,BANKEX,BANKEX24JUL56200PE,OPTIDX,29-JUL-2024,56200,PE
BFO,1111279,15,BANKEX,BANKEX24JUL57500PE,OPTIDX,29-JUL-2024,57500,PE
BFO,1111027,15,BANKEX,BANKEX24JUL57600PE,OPTIDX,29-JUL-2024,57600,PE
BFO,1111752,15,BANKEX,BANKEX24JUL57700PE,OPTIDX,29-JUL-2024,57700,PE
BFO,1111477,15,BANKEX,BANKEX24JUL57800PE,OPTIDX,29-JUL-2024,57800,PE
BFO,1112027,15,BANKEX,BANKEX24JUL57900PE,OPTIDX,29-JUL-2024,57900,PE
BFO,1112191,15,BANKEX,BANKEX24JUL58000PE,OPTIDX,29-JUL-2024,58000,PE
BFO,1112045,15,BANKEX,BANKEX24JUL58100PE,OPTIDX,29-JUL-2024,58100,PE
BFO,1112402,15,BANKEX,BANKEX24JUL58200PE,OPTIDX,29-JUL-2024,58200,PE
BFO,1111435,15,BANKEX,BANKEX24JUL58300PE,OPTIDX,29-JUL-2024,58300,PE
BFO,1111169,15,BANKEX,BANKEX24JUL58400PE,OPTIDX,29-JUL-2024,58400,PE
BFO,1112327,15,BANKEX,BANKEX24JUL57400PE,OPTIDX,29-JUL-2024,57400,PE
BFO,1111976,15,BANKEX,BANKEX24JUL57300PE,OPTIDX,29-JUL-2024,57300,PE
BFO,1111482,15,BANKEX,BANKEX24JUL56300PE,OPTIDX,29-JUL-2024,56300,PE
BFO,1112033,15,BANKEX,BANKEX24JUL56400PE,OPTIDX,29-JUL-2024,56400,PE
BFO,1111882,15,BANKEX,BANKEX24JUL56500PE,OPTIDX,29-JUL-2024,56500,PE
BFO,1112263,15,BANKEX,BANKEX24JUL56600PE,OPTIDX,29-JUL-2024,56600,PE
BFO,1111142,15,BANKEX,BANKEX24JUL56700PE,OPTIDX,29-JUL-2024,56700,PE
BFO,1112483,15,BANKEX,BANKEX24JUL56800PE,OPTIDX,29-JUL-2024,56800,PE
BFO,1111617,15,BANKEX,BANKEX24JUL56900PE,OPTIDX,29-JUL-2024,56900,PE
BFO,1111865,15,BANKEX,BANKEX24JUL57000PE,OPTIDX,29-JUL-2024,57000,PE
BFO,1111632,15,BANKEX,BANKEX24JUL57100PE,OPTIDX,29-JUL-2024,57100,PE
BFO,1112119,15,BANKEX,BANKEX24JUL57200PE,OPTIDX,29-JUL-2024,57200,PE
BFO,1111864,15,BANKEX,BANKEX24JUL58500PE,OPTIDX,29-JUL-2024,58500,PE
BFO,1111384,15,BANKEX,BANKEX24JUL54300CE,OPTIDX,29-JUL-2024,54300,CE
BFO,1126262,15,BANKEX,BANKEX24AUG60000CE,OPTIDX,26-AUG-2024,60000,CE
BFO,1127206,15,BANKEX,BANKEX24AUG52100PE,OPTIDX,26-AUG-2024,52100,PE
BFO,1127165,15,BANKEX,BANKEX24AUG52200PE,OPTIDX,26-AUG-2024,52200,PE
BFO,1126621,15,BANKEX,BANKEX24AUG52300PE,OPTIDX,26-AUG-2024,52300,PE
BFO,1126185,15,BANKEX,BANKEX24AUG52400PE,OPTIDX,26-AUG-2024,52400,PE
