Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
BSE,509546,1,GRAVISSHO,GRAVISSHO,XT,,0,
BSE,509525,1,EMPIND,EMPIND,X,,0,
BSE,509496,1,ITDCEM,ITDCEM,A,,0,
BSE,509488,1,GRAPHITE,GRAPHITE,A,,0,
BSE,509486,1,CAPRIHANS,CAPRIHANS,X,,0,
BSE,509480,1,BERGEPAINT,BERGEPAINT,A,,0,
BSE,509472,1,CRAVATEX,CRAVATEX,X,,0,
BSE,509470,1,BOMOXY-B1,BOMOXY-B1,X,,0,
BSE,509449,1,BHAGWOX,BHAGWOX,XT,,0,
BSE,509438,1,BENARAS,BENARAS,X,,0,
BSE,509423,1,SEL,SEL,X,,0,
BSE,509243,1,TVSSRICHAK,TVSSRICHAK,A,,0,
BSE,509220,1,PTL,PTL,B,,0,
BSE,509196,1,MMRUBBR-B,MMRUBBR-B,X,,0,
BSE,509162,1,INDAG,INDAG,X,,0,
BSE,509152,1,GRPLTD,GRPLTD,B,,0,
BSE,509084,1,PHOTON,PHOTON,XT,,0,
BSE,509079,1,GUFICBIO,GUFICBIO,B,,0,
BSE,509073,1,HATHWAYB,HATHWAYB,XT,,0,
BSE,509069,1,INFOMEDIA,INFOMEDIA,T,,0,
BSE,509055,1,VISAKAIND,VISAKAIND,B,,0,
BSE,509053,1,BANASFN,BANASFN,X,,0,
BSE,509051,1,INDINFO,INDINFO,X,,0,
BSE,509048,1,LANCORHOL,LANCORHOL,X,,0,
BSE,509046,1,TRILIANCE,TRILIANCE,XT,,0,
BSE,509040,1,NETLINK,NETLINK,X,,0,
BSE,509038,1,VOLLF,VOLLF,X,,0,
BSE,509026,1,VJTFEDU,VJTFEDU,XT,,0,
BSE,509020,1,RUCHINFRA,RUCHINFRA,T,,0,
BSE,509009,1,AUSOMENT,AUSOMENT,T,,0,
BSE,509003,1,TRANOCE,TRANOCE,XT,,0,
BSE,508996,1,SATRAPROP,SATRAPROP,Z,,0,
BSE,508993,1,KEDIACN,KEDIACN,XT,,0,
BSE,508989,1,NAVNETEDUL,NAVNETEDUL,A,,0,
BSE,508980,1,FRONTCAP,FRONTCAP,Z,,0,
BSE,508969,1,SULABEN,SULABEN,XT,,0,
BSE,508963,1,STRLGUA,STRLGUA,XT,,0,
BSE,508961,1,SHRICON,SHRICON,XT,,0,
BSE,508956,1,HBLEAS,HBLEAS,XT,,0,
BSE,508954,1,FINKURVE,FINKURVE,B,,0,
BSE,508941,1,PANCARBON,PANCARBON,X,,0,
BSE,508933,1,AYMSYNTEX,AYMSYNTEX,B,,0,
BSE,508922,1,MSRINDIA,MSRINDIA,XT,,0,
BSE,508918,1,IRONWOOD,IRONWOOD,X,,0,
BSE,508906,1,EVERESTIND,EVERESTIND,B,,0,
BSE,508905,1,SMIFS,SMIFS,X,,0,
BSE,508875,1,NITINCAST,NITINCAST,X,,0,
BSE,508869,1,APOLLOHOSP,APOLLOHOSP,A,,0,
BSE,508867,1,NEWMKTADV,NEWMKTADV,XT,,0,
BSE,508814,1,COSMOFIRST,COSMOFIRST,A,,0,
BSE,508807,1,ISTLTD,ISTLTD,X,,0,
BSE,508670,1,NEAGI,NEAGI,X,,0,
BSE,508664,1,BESTEAST,BESTEAST,X,,0,
BSE,508571,1,COCHMAL,COCHMAL,X,,0,
BSE,508494,1,WARRENTEA,WARRENTEA,X,,0,
BSE,508486,1,HAWKINCOOK,HAWKINCOOK,A,,0,
BSE,508136,1,BNALTD,BNALTD,X,,0,
BSE,507998,1,SIMMOND,SIMMOND,XT,,0,
BSE,507981,1,JINDHOT,JINDHOT,X,,0,
BSE,507970,1,PARMCOS-B,PARMCOS-B,X,,0,
BSE,507966,1,RASRESOR,RASRESOR,X,,0,
BSE,507960,1,GUJHOTE,GUJHOTE,X,,0,
BSE,507952,1,SHIKHARLETR,SHIKHARLETR,XT,,0,
BSE,507948,1,KEYCORP,KEYCORP,XT,,0,
BSE,507944,1,BAJAJST,BAJAJST,X,,0,
BSE,507917,1,EASTBUILD,EASTBUILD,XT,,0,
BSE,507912,1,LKPFIN,LKPFIN,X,,0,
BSE,507910,1,FIBERWEB,FIBERWEB,B,,0,
BSE,507880,1,VIPIND,VIPIND,A,,0,
BSE,507878,1,UNITECH,UNITECH,Z,,0,
BSE,507872,1,ASHNOOR,ASHNOOR,XT,,0,
BSE,507864,1,PIONRINV,PIONRINV,X,,0,
BSE,507852,1,ADDIND,ADDIND,XT,,0,
BSE,507836,1,MCCHRLS-B,MCCHRLS-B,X,,0,
BSE,507833,1,COMPUPN,COMPUPN,XT,,0,
BSE,507828,1,ANSALHSG,ANSALHSG,XT,,0,
BSE,507817,1,WIREFABR,WIREFABR,X,,0,
BSE,507815,1,GILLETTE,GILLETTE,A,,0,
BSE,507813,1,NOL,NOL,X,,0,
BSE,507794,1,KHAICHEM,KHAICHEM,B,,0,
BSE,507789,1,JAGSNPHARM,JAGSNPHARM,B,,0,
BSE,507785,1,TAINWALCHM,TAINWALCHM,B,,0,
BSE,507779,1,KANPRPLA,KANPRPLA,B,,0,
BSE,507759,1,LIMECHM,LIMECHM,XT,,0,
BSE,507753,1,TGVSL,TGVSL,A,,0,
BSE,507747,1,TTKHEALTH,TTKHEALTH,B,,0,
BSE,507717,1,DHANUKA,DHANUKA,B,,0,
BSE,507690,1,ORIBEVER,ORIBEVER,XT,,0,
BSE,507685,1,WIPRO,WIPRO,A,,0,
BSE,507663,1,SAGRSOY-B,SAGRSOY-B,XT,,0,
BSE,507645,1,POLSON,POLSON,X,,0,
BSE,507621,1,MLKFOOD,MLKFOOD,X,,0,
BSE,507609,1,OLYOI,OLYOI,X,,0,
BSE,507598,1,KLRFM,KLRFM,XT,,0,
BSE,507580,1,IVP,IVP,B,,0,
BSE,507552,1,FOODSIN,FOODSIN,B,,0,
BSE,507530,1,THAKKERS,THAKKERS,X,,0,
BSE,507526,1,ASALCBR,ASALCBR,B,,0,
BSE,507515,1,CJGEL,CJGEL,XT,,0,
BSE,507514,1,SDBL,SDBL,B,,0,
BSE,507498,1,PICCASUG,PICCASUG,XT,,0,
BSE,507490,1,RANASUG,RANASUG,B,,0,
BSE,507488,1,GMBREW,GMBREW,B,,0,
BSE,507486,1,CAPRO,CAPRO,XT,,0,
BSE,507474,1,KFBL,KFBL,XT,,0,
BSE,507438,1,IFBAGRO,IFBAGRO,B,,0,
BSE,507410,1,WALCHANNAG,WALCHANNAG,T,,0,
BSE,507315,1,SAKHTISUG,SAKHTISUG,B,,0,
BSE,507265,1,EMERALL,EMERALL,X,,0,
BSE,507205,1,TI,TI,B,,0,
BSE,507180,1,KESARENT,KESARENT,X,,0,
BSE,507155,1,JAGAJITIND,JAGAJITIND,XT,,0,
BSE,506981,1,BLUECHIPT,BLUECHIPT,X,,0,
BSE,506979,1,APTPACK,APTPACK,XT,,0,
BSE,506947,1,ADVPETR-B,ADVPETR-B,XT,,0,
BSE,506943,1,JBCHEPHARM,JBCHEPHARM,A,,0,
BSE,506935,1,CONTCHM,CONTCHM,XT,,0,
BSE,506919,1,MAKERSL,MAKERSL,X,,0,
BSE,506910,1,JAYSYN,JAYSYN,XT,,0,
BSE,506906,1,SCBL,SCBL,X,,0,
BSE,506879,1,GUJTHEM,GUJTHEM,B,,0,
BSE,506858,1,GUJPETR,GUJPETR,XT,,0,
BSE,506854,1,TANFACIND,TANFACIND,B,,0,
BSE,506852,1,PRIMO,PRIMO,A,,0,
BSE,506820,1,ASTRAZEN,ASTRAZEN,A,,0,
BSE,506808,1,TUTIALKA,TUTIALKA,X,,0,
BSE,506767,1,ALKYLAMINE,ALKYLAMINE,A,,0,
BSE,506734,1,MYSORPETRO,MYSORPETRO,X,,0,
BSE,506690,1,UNICHEMLAB,UNICHEMLAB,A,,0,
BSE,506687,1,TRANSPEK,TRANSPEK,B,,0,
BSE,506685,1,ULTRAMAR,ULTRAMAR,B,,0,
BSE,506680,1,TRELCHE-B,TRELCHE-B,T,,0,
BSE,506655,1,SUDARSCHEM,SUDARSCHEM,A,,0,
BSE,506642,1,SADHNANIQ,SADHNANIQ,B,,0,
BSE,506640,1,GUJCMDS,GUJCMDS,XT,,0,
BSE,506618,1,PUNJABCHEM,PUNJABCHEM,B,,0,
BSE,506605,1,POLYCHEM,POLYCHEM,X,,0,
BSE,506597,1,AMAL,AMAL,X,,0,
BSE,506590,1,PCBL,PCBL,A,,0,
BSE,506579,1,ORIENTCQ,ORIENTCQ,B,,0,
BSE,506543,1,MPAGI,MPAGI,XT,,0,
BSE,506532,1,NITTAGELA,NITTAGELA,X,,0,
BSE,506530,1,KEMP,KEMP,X,,0,
BSE,506528,1,KELENRG,KELENRG,XT,,0,
BSE,506525,1,KANORICHEM,KANORICHEM,B,,0,
BSE,506520,1,JAYCH,JAYCH,XT,,0,
BSE,506480,1,GOCLCORP,GOCLCORP,B,,0,
BSE,506414,1,FERMENTA,FERMENTA,X,,0,
BSE,506405,1,DMCC,DMCC,B,,0,
BSE,506401,1,DEEPAKNI,DEEPAKNI,A,,0,
BSE,506395,1,COROMANDEL,COROMANDEL,A,,0,
BSE,506390,1,HEUBACHIND,HEUBACHIND,B,,0,
BSE,506365,1,CHEMOPH,CHEMOPH,XT,,0,
BSE,506285,1,BAYERCROP,BAYERCROP,A,,0,
BSE,506261,1,MODISONLTD,MODISONLTD,B,,0,
BSE,506260,1,ANUHPHR,ANUHPHR,X,,0,
BSE,506248,1,AMNPLST,AMNPLST,B,,0,
BSE,506235,1,ALEMBICLTD,ALEMBICLTD,B,,0,
BSE,506222,1,STYRENIX,STYRENIX,B,,0,
BSE,506197,1,BLISSGVS,BLISSGVS,B,,0,
BSE,506196,1,VIKSHEN,VIKSHEN,XT,,0,
BSE,506194,1,ASL,ASL,B,,0,
BSE,506190,1,ZSARVAMA,ZSARVAMA,XT,,0,
BSE,506186,1,GCKL,GCKL,X,,0,
BSE,506184,1,KANANIIND,KANANIIND,B,,0,
BSE,506180,1,EMERGENT,EMERGENT,XT,,0,
