Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
NFO,35171,15,BANKNIFTY,BANKNIFTY03JUL24P54900,OPTIDX,03-JUL-2024,54900.00,PE
NFO,35165,15,BANKNIFTY,BANKNIFTY31JUL24F,FUTIDX,31-JUL-2024,-0.01,XX
NFO,35164,15,BANKNIFTY,BANKNIFTY03JUL24C54900,OPTIDX,03-JUL-2024,54900.00,CE
NFO,35242,15,BANKNIFTY,BANKNIFTY26JUN24P30000,OPTIDX,26-JUN-2024,30000.00,PE
NFO,35243,15,BANKNIFTY,BANKNIFTY25SEP24C30000,OPTIDX,25-SEP-2024,30000.00,CE
NFO,35244,15,BANKNIFTY,BANKNIFTY25SEP24P30000,OPTIDX,25-SEP-2024,30000.00,PE
NFO,35315,15,BANKNIFTY,BANKNIFTY19JUN24P54300,OPTIDX,19-JUN-2024,54300.00,PE
NFO,35305,15,BANKNIFTY,BANKNIFTY10JUL24P58600,OPTIDX,10-JUL-2024,58600.00,PE
NFO,35304,15,BANKNIFTY,BANKNIFTY10JUL24C58600,OPTIDX,10-JUL-2024,58600.00,CE
NFO,35301,15,BANKNIFTY,BANKNIFTY10JUL24P58400,OPTIDX,10-JUL-2024,58400.00,PE
NFO,35300,15,BANKNIFTY,BANKNIFTY10JUL24C58400,OPTIDX,10-JUL-2024,58400.00,CE
NFO,35287,15,BANKNIFTY,BANKNIFTY10JUL24C28000,OPTIDX,10-JUL-2024,28000.00,CE
NFO,35286,15,BANKNIFTY,BANKNIFTY10JUL24P27500,OPTIDX,10-JUL-2024,27500.00,PE
NFO,35285,15,BANKNIFTY,BANKNIFTY10JUL24C27500,OPTIDX,10-JUL-2024,27500.00,CE
NFO,35284,15,BANKNIFTY,BANKNIFTY10JUL24P27000,OPTIDX,10-JUL-2024,27000.00,PE
NFO,35255,15,BANKNIFTY,BANKNIFTY26JUN24C38000,OPTIDX,26-JUN-2024,38000.00,CE
NFO,35254,15,BANKNIFTY,BANKNIFTY26JUN24P37000,OPTIDX,26-JUN-2024,37000.00,PE
NFO,35393,15,BANKNIFTY,BANKNIFTY03JUL24C53900,OPTIDX,03-JUL-2024,53900.00,CE
NFO,35247,15,BANKNIFTY,BANKNIFTY24DEC24P30000,OPTIDX,24-DEC-2024,30000.00,PE
NFO,35245,15,BANKNIFTY,BANKNIFTY24DEC24C30000,OPTIDX,24-DEC-2024,30000.00,CE
NFO,35163,15,BANKNIFTY,BANKNIFTY19JUN24P54900,OPTIDX,19-JUN-2024,54900.00,PE
NFO,35433,15,BANKNIFTY,BANKNIFTY31JUL24P41900,OPTIDX,31-JUL-2024,41900.00,PE
NFO,35644,15,BANKNIFTY,BANKNIFTY03JUL24P35000,OPTIDX,03-JUL-2024,35000.00,PE
NFO,35610,15,BANKNIFTY,BANKNIFTY26JUN24P62500,OPTIDX,26-JUN-2024,62500.00,PE
NFO,35609,15,BANKNIFTY,BANKNIFTY26JUN24C41100,OPTIDX,26-JUN-2024,41100.00,CE
NFO,35608,15,BANKNIFTY,BANKNIFTY26JUN24P41000,OPTIDX,26-JUN-2024,41000.00,PE
NFO,35607,15,BANKNIFTY,BANKNIFTY26JUN24C62500,OPTIDX,26-JUN-2024,62500.00,CE
NFO,35601,15,BANKNIFTY,BANKNIFTY28AUG24P36000,OPTIDX,28-AUG-2024,36000.00,PE
NFO,35600,15,BANKNIFTY,BANKNIFTY28AUG24C36000,OPTIDX,28-AUG-2024,36000.00,CE
NFO,35599,15,BANKNIFTY,BANKNIFTY28AUG24P35500,OPTIDX,28-AUG-2024,35500.00,PE
NFO,35598,15,BANKNIFTY,BANKNIFTY28AUG24C35500,OPTIDX,28-AUG-2024,35500.00,CE
NFO,35597,15,BANKNIFTY,BANKNIFTY28AUG24P35000,OPTIDX,28-AUG-2024,35000.00,PE
NFO,35596,15,BANKNIFTY,BANKNIFTY28AUG24C35000,OPTIDX,28-AUG-2024,35000.00,CE
NFO,35593,15,BANKNIFTY,BANKNIFTY28AUG24P34500,OPTIDX,28-AUG-2024,34500.00,PE
NFO,35592,15,BANKNIFTY,BANKNIFTY28AUG24C34500,OPTIDX,28-AUG-2024,34500.00,CE
NFO,35580,15,BANKNIFTY,BANKNIFTY26JUN24P53600,OPTIDX,26-JUN-2024,53600.00,PE
NFO,35579,15,BANKNIFTY,BANKNIFTY03JUL24P54400,OPTIDX,03-JUL-2024,54400.00,PE
NFO,35619,15,BANKNIFTY,BANKNIFTY26MAR25C63000,OPTIDX,26-MAR-2025,63000.00,CE
NFO,35621,15,BANKNIFTY,BANKNIFTY26MAR25P63000,OPTIDX,26-MAR-2025,63000.00,PE
NFO,35622,15,BANKNIFTY,BANKNIFTY10JUL24P28000,OPTIDX,10-JUL-2024,28000.00,PE
NFO,35643,15,BANKNIFTY,BANKNIFTY03JUL24C35000,OPTIDX,03-JUL-2024,35000.00,CE
NFO,35642,15,BANKNIFTY,BANKNIFTY10JUL24C30000,OPTIDX,10-JUL-2024,30000.00,CE
NFO,35641,15,BANKNIFTY,BANKNIFTY26JUN24C41400,OPTIDX,26-JUN-2024,41400.00,CE
NFO,35640,15,BANKNIFTY,BANKNIFTY26JUN24P41300,OPTIDX,26-JUN-2024,41300.00,PE
NFO,35639,15,BANKNIFTY,BANKNIFTY26JUN24C41300,OPTIDX,26-JUN-2024,41300.00,CE
NFO,35638,15,BANKNIFTY,BANKNIFTY26JUN24P41200,OPTIDX,26-JUN-2024,41200.00,PE
NFO,35637,15,BANKNIFTY,BANKNIFTY26JUN24C41200,OPTIDX,26-JUN-2024,41200.00,CE
NFO,35636,15,BANKNIFTY,BANKNIFTY26JUN24P41100,OPTIDX,26-JUN-2024,41100.00,PE
NFO,35629,15,BANKNIFTY,BANKNIFTY10JUL24P29500,OPTIDX,10-JUL-2024,29500.00,PE
NFO,35628,15,BANKNIFTY,BANKNIFTY10JUL24C29500,OPTIDX,10-JUL-2024,29500.00,CE
NFO,35627,15,BANKNIFTY,BANKNIFTY10JUL24P29000,OPTIDX,10-JUL-2024,29000.00,PE
NFO,35626,15,BANKNIFTY,BANKNIFTY10JUL24C29000,OPTIDX,10-JUL-2024,29000.00,CE
NFO,35624,15,BANKNIFTY,BANKNIFTY10JUL24P28500,OPTIDX,10-JUL-2024,28500.00,PE
NFO,35623,15,BANKNIFTY,BANKNIFTY10JUL24C28500,OPTIDX,10-JUL-2024,28500.00,CE
NFO,35578,15,BANKNIFTY,BANKNIFTY03JUL24C54400,OPTIDX,03-JUL-2024,54400.00,CE
NFO,35575,15,BANKNIFTY,BANKNIFTY26JUN24C53600,OPTIDX,26-JUN-2024,53600.00,CE
NFO,35569,15,BANKNIFTY,BANKNIFTY03JUL24P54300,OPTIDX,03-JUL-2024,54300.00,PE
NFO,35456,15,BANKNIFTY,BANKNIFTY03JUL24P34500,OPTIDX,03-JUL-2024,34500.00,PE
NFO,35455,15,BANKNIFTY,BANKNIFTY03JUL24C34500,OPTIDX,03-JUL-2024,34500.00,CE
NFO,35454,15,BANKNIFTY,BANKNIFTY03JUL24P54200,OPTIDX,03-JUL-2024,54200.00,PE
NFO,35453,15,BANKNIFTY,BANKNIFTY03JUL24C54200,OPTIDX,03-JUL-2024,54200.00,CE
NFO,35452,15,BANKNIFTY,BANKNIFTY19JUN24P36500,OPTIDX,19-JUN-2024,36500.00,PE
NFO,35451,15,BANKNIFTY,BANKNIFTY03JUL24P54100,OPTIDX,03-JUL-2024,54100.00,PE
NFO,35450,15,BANKNIFTY,BANKNIFTY03JUL24C54100,OPTIDX,03-JUL-2024,54100.00,CE
NFO,35445,15,BANKNIFTY,BANKNIFTY19JUN24C36500,OPTIDX,19-JUN-2024,36500.00,CE
NFO,35444,15,BANKNIFTY,BANKNIFTY19JUN24P36000,OPTIDX,19-JUN-2024,36000.00,PE
NFO,35443,15,BANKNIFTY,BANKNIFTY19JUN24C36000,OPTIDX,19-JUN-2024,36000.00,CE
NFO,35442,15,BANKNIFTY,BANKNIFTY19JUN24P35500,OPTIDX,19-JUN-2024,35500.00,PE
NFO,35439,15,BANKNIFTY,BANKNIFTY19JUN24C35500,OPTIDX,19-JUN-2024,35500.00,CE
